time,1 号社区印花胶囊,2019年卡托维兹锦标赛挑战组亲笔签名胶囊,2019年柏林锦标赛传奇组亲笔签名胶囊,2019年柏林锦标赛竞争组胶囊（全息/闪亮）,2020 RMR 传奇组战队胶囊,2020 RMR 竞争组战队胶囊,2021年斯德哥尔摩锦标赛传奇组印花胶囊,2021年斯德哥尔摩锦标赛冠军亲笔签名胶囊,2021年斯德哥尔摩锦标赛冠军赛选手亲笔签名胶囊,2021年斯德哥尔摩锦标赛竞争组印花胶囊,2022年安特卫普锦标赛传奇组亲笔签名胶囊,2022年安特卫普锦标赛传奇组印花胶囊,2022年安特卫普锦标赛冠军亲笔签名胶囊,2022年安特卫普锦标赛挑战组亲笔签名胶囊,2022年安特卫普锦标赛挑战组印花胶囊,2022年安特卫普锦标赛竞争组亲笔签名胶囊,2022年安特卫普锦标赛竞争组印花胶囊,2022年里约热内卢锦标赛传奇组亲笔签名胶囊,2022年里约热内卢锦标赛传奇组印花胶囊,2022年里约热内卢锦标赛挑战组亲笔签名胶囊,2022年里约热内卢锦标赛挑战组印花胶囊,2022年里约热内卢锦标赛炙热沙城 II 纪念包,2022年里约热内卢锦标赛竞争组印花胶囊,2023年巴黎锦标赛传奇组亲笔签名胶囊,2023年巴黎锦标赛传奇组印花胶囊,2023年巴黎锦标赛冠军亲笔签名胶囊,2023年巴黎锦标赛挑战组亲笔签名胶囊,2023年巴黎锦标赛挑战组印花胶囊,2023年巴黎锦标赛核子危机纪念包,2023年巴黎锦标赛死亡游乐园纪念包,2023年巴黎锦标赛殒命大厦纪念包,2023年巴黎锦标赛炼狱小镇纪念包,2023年巴黎锦标赛竞争组亲笔签名胶囊,2023年巴黎锦标赛竞争组印花胶囊,2023年巴黎锦标赛荒漠迷城纪念包,2023年巴黎锦标赛远古遗迹纪念包,2023年巴黎锦标赛阿努比斯纪念包,CS:GO 10周年印花胶囊,CS:GO布章包,Enfu 印花胶囊,StatTrak™ 决策大师音乐盒集,StatTrak™ 引爆器音乐盒集,StatTrak™ 激进音乐集,“先锋大行动”武器箱,“凤凰大行动”武器箱,“头号特训”武器箱,“狂牙大行动”武器箱,“突围大行动”武器箱,“野火大行动”武器箱,《半衰期：爱莉克斯》印花胶囊,《半衰期：爱莉克斯》布章包,伽玛 2 号武器箱,伽玛武器箱,作战室印花胶囊,光环胶囊,光谱 2 号武器箱,光谱武器箱,决策大师音乐盒集,动物寓言胶囊,反冲武器箱,反恐精英20周年印花胶囊,反恐精英20周年武器箱,反恐精英武器箱,反恐精英涂鸦箱,变革武器箱,命悬一线武器箱,团队定位胶囊,地平线武器箱,左轮武器箱,幻彩 2 号武器箱,幻彩 3 号武器箱,幻彩武器箱,引爆器音乐盒集,弯曲猎手武器箱,战地风云 2042 印花胶囊,战锤40k印花胶囊,手套武器箱,斯德哥尔摩 2021 炙热沙城 II 纪念包,斯德哥尔摩 2021 荒漠迷城纪念包,暗影武器箱,梦魇武器箱,棱彩2号武器箱,棱彩武器箱,段位印花胶囊,海报女郎胶囊,点亮中国 1 号印花胶囊,点亮中国 2 号印花胶囊,猎杀者武器箱,猛兽胶囊,电竞 2014 夏季武器箱,社区涂鸦箱 1,糖果脸谱胶囊,蛇噬武器箱,裂空武器箱,间谍印花胶囊,阿努比斯收藏包
2023-10-27 06:00:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,2,0,23,16,0,4,16,0,0,0,0,19,31,1,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,15,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3,0,10
2023-10-27 07:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,1,0,7,20,0,5,3,0,0,0,0,22,58,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,15,3,0,0,0,0,12,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,3,0,0,0,0,3,6,0,9
2023-10-27 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,38,0,8,16,1,0,0,1,15,43,1,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,7,0,0,0,1,3,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,3,2,0,0,0,0,0,0,0,0,0,13,2,0,12
2023-10-27 09:00:00,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,21,39,0,3,12,0,0,0,0,11,21,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,1,0,0,9,1,0,0,0,13,4,1,0,0,0,0,0,0,6,0,0,1,1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,8,0,24
2023-10-27 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,19,21,0,15,9,0,0,0,0,18,30,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,13,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,2,0,0,0,0,0,2,15,1,22
2023-10-27 11:00:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44,2,19,5,0,0,0,0,10,31,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,10,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,3,1,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,3,10,0,13
2023-10-27 12:00:00,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,31,2,19,8,0,0,0,0,25,29,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,11,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,9,6,0,9
2023-10-27 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-27 14:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,19,0,18,6,0,0,0,0,29,27,0,0,0,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,1,4,6,3,0,0,0,0,0,0,0,0,0,0,17,8,0,20
2023-10-27 15:00:00,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,15,0,11,19,0,2,0,0,15,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,24,1,0,5,0,5,9,0,1,1,0,5,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,2,0,0,0,0,0,7,8,0,21
2023-10-27 16:00:00,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16,37,0,2,9,0,0,3,0,17,34,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,9,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,0,10,14,0,8
2023-10-27 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,55,0,7,18,0,0,0,0,1,23,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,6
2023-10-27 18:00:00,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,0,0,4,0,0,0,0,39,37,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,3,1,0,0,0,0,0,0,0,1,0,4,19,0,2
2023-10-27 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,32,0,0,0,0,4,12,2,0,1,0,0,0,3,1,0,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0,0,8,1,0,0,0,15,1,0,20,0,1,0,0,0,0,1,1,1,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,11,37,0,18
2023-10-27 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,6,1,0,0,0,0,10,9,21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,1,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,10,21,0,20
2023-10-27 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,0,0,0,0,0,0,34,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,2,0,0,0,54,0,0,0,0,0,1,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,2,3,0,5
2023-10-27 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,13,0,0,0,10,20,37,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,2,0,20
2023-10-27 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,13,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,32,0,0,0,0,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,9,0,0,0,0,0,0,0,0,0,1,1,0,5
2023-10-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,27,19,2,11,5,0,0,0,0,36,40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,2,3,0,5
2023-10-28 01:00:00,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,4,23,0,0,0,0,9,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,23,8,0,0,0,0,1,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,4,4,0,14
2023-10-28 21:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,18,47,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,22,1,0,0,0,22,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,35,10,0,0,0,0,0,0,0,0,0,0,7,2,0,0
2023-10-28 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,24,0,1,97,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
2023-10-28 23:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,40,14,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,27,0,1,0,0,0,0,0,0,0,35,0,3,0,0,0,0,0,0,0,0,0,3,1,0,10
2023-10-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-29 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,0,0,13,0,0,0,0,22,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,14,0,2
2023-10-29 02:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,0,6,26,0,1,0,0,14,41,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,8,0,16
2023-10-29 03:00:00,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,14,1,8,23,0,0,0,0,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,4,5,0,0,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,7,0,0,0,0,0,0,1,1,0,3,6,0,12
2023-10-29 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,24,0,16,11,0,0,0,0,10,51,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,12,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,10,13,0,15
2023-10-29 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-29 06:00:00,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,15,20,1,8,14,0,0,0,0,1,37,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,17,3,0,0,11,1,0,0,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,1,0,0,0,0,0,0,0,0,0,2,9,0,5
2023-10-29 07:00:00,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,4,0,2,2,0,0,12,15,2,17,12,0,0,0,0,32,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,4,1,0,22
2023-10-29 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,3,1,19,0,0,0,0,7,46,0,0,0,7,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,5,0,0,1,0,3,0,0,0,0,0,0,0,1,5,10,0,2,0,0,0,0,0,0,0,0,0,9,2,0,9
2023-10-29 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-29 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-29 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,9,34,3,9,9,0,4,0,0,22,27,0,0,1,2,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,2,0,2,4,0,4,0,0,0,0,0,0,0,0,3,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,5,6,0,14
2023-10-29 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,59,2,5,1,3,0,1,0,6,9,12,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,13,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,3,12,0,18
2023-10-29 13:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,29,1,27,13,0,0,0,0,9,36,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,8,1,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,14,4,0,16
2023-10-29 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-29 15:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,22,0,20,5,0,0,0,0,39,38,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,9,0,0,0,0,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,0,0,0,4,3,0,16
2023-10-29 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,42,0,17,10,0,0,0,0,9,33,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,0,0,0,10,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
2023-10-29 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,6,0,3,9,0,0,0,0,30,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,19,0,0,2,1,0,12,0,0,0,0,0,1,0,0,0,22,1,9,0,0,0,0,2,0,0,0,0,11,15,0,13
2023-10-29 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,14,4,0,0,0,0,0,41,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,18,1,0,20,0,1,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,32,0,26
2023-10-29 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,38,23,0,0,0,0,7,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,17,2,0,0,0,1,10,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,1,22,0,8
2023-10-29 20:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,1,1,1,0,0,0,55,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,8,0,0,0,0,0,1,0,0,0,5,5,0,52
2023-10-29 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,15,0,12
2023-10-29 22:00:00,0,1,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,25,2,8,7,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,4,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,32,0,5
